Year,Fine_Trophic,Habitat,Total_count,Total_biomass_kg,N,Max_N
2011,Benthic Invertebrate Consumer,BA,1088,14.9205,516,516
2011,Benthic Invertebrate Consumer,FO,2462,77.73866000000001,777,777
2011,Benthic Invertebrate Consumer,FR,1084,33.7392,498,498
2011,Corallivore,BA,261,8.10343,122,122
2011,Corallivore,FO,81,2.23977,43,43
2011,Corallivore,FR,575,22.55263,242,242
2011,Fish Scale Consumer,BA,10,0.00999,6,6
2011,Fish Scale Consumer,FO,37,0.04336,21,21
2011,Fish Scale Consumer,FR,10,0.01838,6,6
2011,Herbivore/Detritivore,BA,2037,84.57457000000001,384,384
2011,Herbivore/Detritivore,FO,3136,162.12275,560,560
2011,Herbivore/Detritivore,FR,2563,99.48275,556,556
2011,Omnivore,BA,848,7.11193,235,235
2011,Omnivore,FO,1572,28.515040000000003,385,385
2011,Omnivore,FR,2299,22.7687,438,438
2011,Piscivore,BA,41,1.64098,37,37
2011,Piscivore,FO,294,72.55128,217,217
2011,Piscivore,FR,196,37.277260000000005,132,132
2011,Planktivore_exclusively,BA,26,0.2491,10,10
2011,Planktivore_exclusively,FO,4127,9.2145,182,182
2011,Planktivore_exclusively,FR,164,4.02395,47,47
2012,Benthic Invertebrate Consumer,BA,1405,21.71078,649,649
2012,Benthic Invertebrate Consumer,FO,3108,55.58157,845,845
2012,Benthic Invertebrate Consumer,FR,1079,48.304809999999996,485,485
2012,Corallivore,BA,245,8.16821,115,115
2012,Corallivore,FO,98,2.07604,54,54
2012,Corallivore,FR,511,18.07082,226,226
2012,Fish Scale Consumer,BA,2,0.00248,2,2
2012,Fish Scale Consumer,FO,37,0.046869999999999995,21,21
2012,Fish Scale Consumer,FR,1,9.699999999999999e-4,1,1
2012,Herbivore/Detritivore,BA,2892,86.03650999999999,494,494
2012,Herbivore/Detritivore,FO,2863,145.82245999999998,627,627
2012,Herbivore/Detritivore,FR,2823,80.36731,690,690
2012,Omnivore,BA,1219,8.37166,288,288
2012,Omnivore,FO,1926,25.43739,429,429
2012,Omnivore,FR,1982,19.437849999999997,460,460
2012,Piscivore,BA,56,102.75059999999999,46,46
2012,Piscivore,FO,245,67.24842,180,180
2012,Piscivore,FR,197,38.063050000000004,98,98
2012,Planktivore_exclusively,BA,23,0.06645000000000001,8,8
2012,Planktivore_exclusively,FO,4391,8.460700000000001,175,175
2012,Planktivore_exclusively,FR,301,5.465979999999999,34,34
2013,Benthic Invertebrate Consumer,BA,1596,38.05258,722,722
2013,Benthic Invertebrate Consumer,FO,2998,127.37361,868,868
2013,Benthic Invertebrate Consumer,FR,1595,90.53215000000002,584,584
2013,Corallivore,BA,249,10.16094,114,114
2013,Corallivore,FO,176,6.011100000000001,88,88
2013,Corallivore,FR,525,20.75959,239,239
2013,Fish Scale Consumer,BA,5,0.006979999999999999,4,4
2013,Fish Scale Consumer,FO,11,0.011179999999999999,10,10
2013,Fish Scale Consumer,FR,2,0.01017,2,2
2013,Herbivore/Detritivore,BA,3952,228.32857,543,543
2013,Herbivore/Detritivore,FO,3868,306.13809999999995,660,660
2013,Herbivore/Detritivore,FR,2822,83.69367999999999,735,735
2013,Omnivore,BA,845,9.25228,302,302
2013,Omnivore,FO,2358,36.93134,453,453
2013,Omnivore,FR,2024,20.5713,480,480
2013,Piscivore,BA,33,45.17544,32,32
2013,Piscivore,FO,253,54.12164,188,188
2013,Piscivore,FR,150,64.68051,92,92
2013,Planktivore_exclusively,BA,86,0.11474,17,17
2013,Planktivore_exclusively,FO,7433,12.18591,251,251
2013,Planktivore_exclusively,FR,387,2.2590700000000004,34,34
2014,Benthic Invertebrate Consumer,BA,1642,39.37868,716,716
2014,Benthic Invertebrate Consumer,FO,2634,32.80759,1014,1014
2014,Benthic Invertebrate Consumer,FR,1940,163.4985,620,620
2014,Corallivore,BA,234,9.89152,115,115
2014,Corallivore,FO,123,2.71511,65,65
2014,Corallivore,FR,597,30.84222,244,244
2014,Fish Scale Consumer,BA,9,0.00737,7,7
2014,Fish Scale Consumer,FO,50,0.08663,22,22
2014,Fish Scale Consumer,FR,4,0.01226,4,4
2014,Herbivore/Detritivore,BA,3804,186.55791,562,562
2014,Herbivore/Detritivore,FO,2806,179.2202,703,703
2014,Herbivore/Detritivore,FR,2937,131.52247,747,747
2014,Omnivore,BA,776,11.993,266,266
2014,Omnivore,FO,2208,31.55643,508,508
2014,Omnivore,FR,2003,24.53464,460,460
2014,Piscivore,BA,41,62.31911,38,38
2014,Piscivore,FO,235,123.39085,176,176
2014,Piscivore,FR,305,35.826240000000006,109,109
2014,Planktivore_exclusively,BA,42,0.30395,8,8
2014,Planktivore_exclusively,FO,6243,17.607580000000002,240,240
2014,Planktivore_exclusively,FR,185,3.4769099999999997,32,32
2015,Benthic Invertebrate Consumer,BA,1239,37.122279999999996,577,577
2015,Benthic Invertebrate Consumer,FO,2303,26.86597,733,733
2015,Benthic Invertebrate Consumer,FR,854,67.56981,397,397
2015,Corallivore,BA,245,11.72503,111,111
2015,Corallivore,FO,237,6.64418,100,100
2015,Corallivore,FR,643,44.05072,243,243
2015,Fish Scale Consumer,BA,3,0.00268,3,3
2015,Fish Scale Consumer,FO,12,0.01108,6,6
2015,Herbivore/Detritivore,BA,2416,195.24812,426,426
2015,Herbivore/Detritivore,FO,2295,180.40119,609,609
2015,Herbivore/Detritivore,FR,2562,157.25318,578,578
2015,Omnivore,BA,952,14.04175,268,268
2015,Omnivore,FO,2201,31.29387,394,394
2015,Omnivore,FR,1635,21.80793,376,376
2015,Piscivore,BA,69,55.890029999999996,55,55
2015,Piscivore,FO,191,38.18024,152,152
2015,Piscivore,FR,192,16.862389999999998,99,99
2015,Planktivore_exclusively,BA,125,0.25484,1,1
2015,Planktivore_exclusively,FO,3344,26.043950000000002,129,129
2015,Planktivore_exclusively,FR,121,2.66778,37,37
2016,Benthic Invertebrate Consumer,BA,978,20.06314,522,522
2016,Benthic Invertebrate Consumer,FO,2638,21.19459,810,810
2016,Benthic Invertebrate Consumer,FR,897,46.59221,447,447
2016,Corallivore,BA,176,7.87296,90,90
2016,Corallivore,FO,323,7.10033,127,127
2016,Corallivore,FR,431,21.601680000000002,202,202
2016,Fish Scale Consumer,BA,3,0.00148,3,3
2016,Fish Scale Consumer,FO,9,0.02041,8,8
2016,Herbivore/Detritivore,BA,2899,158.99506,515,515
2016,Herbivore/Detritivore,FO,1877,101.87761,560,560
2016,Herbivore/Detritivore,FR,2508,119.89403999999999,580,580
2016,Omnivore,BA,723,13.622020000000001,232,232
2016,Omnivore,FO,2343,33.44249,451,451
2016,Omnivore,FR,1664,21.84383,362,362
2016,Piscivore,BA,51,108.32297,42,42
2016,Piscivore,FO,208,100.03879,166,166
2016,Piscivore,FR,172,22.981399999999997,105,105
2016,Planktivore_exclusively,BA,24,0.05734999999999999,3,3
2016,Planktivore_exclusively,FO,5534,15.803420000000001,148,148
2016,Planktivore_exclusively,FR,44,1.49031,25,25
2017,Benthic Invertebrate Consumer,BA,1143,23.872040000000002,611,611
2017,Benthic Invertebrate Consumer,FO,3234,22.390939999999997,961,961
2017,Benthic Invertebrate Consumer,FR,1091,45.24329,480,480
2017,Corallivore,BA,211,7.31543,98,98
2017,Corallivore,FO,518,8.85027,165,165
2017,Corallivore,FR,416,15.52495,194,194
2017,Fish Scale Consumer,BA,3,0.00171,1,1
2017,Fish Scale Consumer,FO,17,0.03891000000000001,11,11
2017,Fish Scale Consumer,FR,1,0.0056,1,1
2017,Herbivore/Detritivore,BA,3768,201.25385999999997,514,514
2017,Herbivore/Detritivore,FO,2752,128.42319,704,704
2017,Herbivore/Detritivore,FR,2587,113.30069,642,642
2017,Omnivore,BA,1192,12.33816,274,274
2017,Omnivore,FO,3549,36.42497,526,526
2017,Omnivore,FR,2008,16.52152,451,451
2017,Piscivore,BA,61,149.53002,52,52
2017,Piscivore,FO,274,110.35903,208,208
2017,Piscivore,FR,150,9.70541,97,97
2017,Planktivore_exclusively,BA,22,0.06028,5,5
2017,Planktivore_exclusively,FO,9055,25.705689999999997,193,193
2017,Planktivore_exclusively,FR,57,0.8566,26,26
2018,Benthic Invertebrate Consumer,BA,1094,23.530420000000003,554,554
2018,Benthic Invertebrate Consumer,FO,2986,25.818630000000002,921,921
2018,Benthic Invertebrate Consumer,FR,699,38.671260000000004,393,393
2018,Corallivore,BA,180,8.608120000000001,92,92
2018,Corallivore,FO,705,12.39443,211,211
2018,Corallivore,FR,421,17.651799999999998,192,192
2018,Fish Scale Consumer,BA,3,0.0037,3,3
2018,Fish Scale Consumer,FO,20,0.06458,13,13
2018,Fish Scale Consumer,FR,3,0.008039999999999999,3,3
2018,Herbivore/Detritivore,BA,2823,170.06633,489,489
2018,Herbivore/Detritivore,FO,2114,109.06917,691,691
2018,Herbivore/Detritivore,FR,2423,131.57773,540,540
2018,Omnivore,BA,1072,11.662049999999999,250,250
2018,Omnivore,FO,3540,33.22968,543,543
2018,Omnivore,FR,2261,22.005920000000003,361,361
2018,Piscivore,BA,40,278.4918,39,39
2018,Piscivore,FO,268,37.960879999999996,218,218
2018,Piscivore,FR,122,10.18945,69,69
2018,Planktivore_exclusively,BA,9,0.16176,6,6
2018,Planktivore_exclusively,FO,7024,37.49954,182,182
2018,Planktivore_exclusively,FR,84,2.37113,31,31
2019,Benthic Invertebrate Consumer,BA,836,21.83165,495,495
2019,Benthic Invertebrate Consumer,FO,2465,20.29388,885,885
2019,Benthic Invertebrate Consumer,FR,678,47.540910000000004,359,359
2019,Corallivore,BA,160,8.933639999999999,90,90
2019,Corallivore,FO,673,14.11192,231,231
2019,Corallivore,FR,397,16.44811,162,162
2019,Fish Scale Consumer,BA,1,9.699999999999999e-4,1,1
2019,Fish Scale Consumer,FO,2,0.00114,2,2
2019,Fish Scale Consumer,FR,2,5.1e-4,2,2
2019,Herbivore/Detritivore,BA,1985,129.37355,518,518
2019,Herbivore/Detritivore,FO,2318,119.68294999999999,756,756
2019,Herbivore/Detritivore,FR,2096,NA,597,597
2019,Omnivore,BA,762,10.96068,227,227
2019,Omnivore,FO,2716,26.601029999999998,555,555
2019,Omnivore,FR,1808,18.49024,371,371
2019,Piscivore,BA,56,33.5515,50,50
2019,Piscivore,FO,239,32.80334,209,209
2019,Piscivore,FR,231,14.33984,118,118
2019,Planktivore_exclusively,BA,9,0.1933,6,6
2019,Planktivore_exclusively,FO,5760,13.59522,127,127
2019,Planktivore_exclusively,FR,53,1.78584,23,23
