Year,Spp_grouping,Site,Total_percent,Mean_perc_cov,N
2009,Crustose_corallines,LTER 4,1464,7.32,292
2009,Crustose_corallines,LTER 5,1856,9.28,295
2009,Crustose_corallines,LTER 6,2248,11.24,300
2009,Cyanophyta,LTER 1,44,0.22,150
2009,Cyanophyta,LTER 2,56,0.28,150
2009,Cyanophyta,LTER 3,3924,19.62,150
2009,Cyanophyta,LTER 4,228,1.14,196
2009,Cyanophyta,LTER 5,216,1.08,195
2009,Cyanophyta,LTER 6,608,3.04,200
2009,Fire_coral,LTER 1,60,0.3,100
2009,Fire_coral,LTER 2,216,1.08,150
2009,Fire_coral,LTER 4,312,1.56,96
2009,Fire_coral,LTER 5,152,0.76,100
2009,Fire_coral,LTER 6,28,0.14,50
2009,Hard_coral,LTER 1,3612,18.06,200
2009,Hard_coral,LTER 2,1972,9.86,200
2009,Hard_coral,LTER 3,2456,12.28,200
2009,Hard_coral,LTER 4,3392,16.96,196
2009,Hard_coral,LTER 5,5796,28.98,195
2009,Hard_coral,LTER 6,2492,12.46,200
2009,Macroalgae,LTER 1,2380,11.9,850
2009,Macroalgae,LTER 2,2992,14.96,900
2009,Macroalgae,LTER 3,1976,9.88,700
2009,Macroalgae,LTER 4,2300,11.5,592
2009,Macroalgae,LTER 5,1796,8.98,640
2009,Macroalgae,LTER 6,2880,14.4,1101
2009,No_data,LTER 4,-4,-0.02,4
2009,No_data,LTER 5,-5,-0.025,5
2009,Soft_coral,LTER 4,8,0.04,46
2009,Soft_coral,LTER 5,36,0.18,100
2009,Sponge,LTER 2,8,0.04,100
2009,Sponge,LTER 5,8,0.04,45
2009,Sponge,LTER 6,4,0.02,50
2009,Turf,LTER 1,10810,54.05,200
2009,Turf,LTER 2,11692,58.46,200
2009,Turf,LTER 3,7612,38.06,300
2009,Turf,LTER 4,9976,49.88,196
2009,Turf,LTER 5,7468,37.34,195
2009,Turf,LTER 6,9648,48.24,200
2010,Abiotic,LTER 1,1056,5.28,199
2010,Abiotic,LTER 2,992,4.96,200
2010,Abiotic,LTER 3,1252,6.26,200
2010,Abiotic,LTER 4,2604,13.02,199
2010,Abiotic,LTER 5,1964,9.82,200
2010,Abiotic,LTER 6,1992,9.96,200
2010,Ascidian,LTER 2,8,0.04,50
2010,Ascidian,LTER 5,8,0.04,50
2010,Corallimorpharia,LTER 3,4,0.02,50
2010,Corallimorpharia,LTER 5,28,0.14,50
2010,Corallimorpharia,LTER 6,16,0.08,50
2010,Crustose_corallines,LTER 1,3488,17.44,199
2010,Crustose_corallines,LTER 2,2888,14.44,250
2010,Crustose_corallines,LTER 3,3220,16.1,300
2010,Crustose_corallines,LTER 4,2352,11.76,199
2010,Crustose_corallines,LTER 5,2592,12.96,200
2010,Crustose_corallines,LTER 6,3452,17.26,200
2010,Cyanophyta,LTER 1,4,0.02,49
2010,Cyanophyta,LTER 3,8,0.04,50
2010,Cyanophyta,LTER 4,128,0.64,150
2010,Cyanophyta,LTER 5,68,0.34,100
2010,Cyanophyta,LTER 6,40,0.2,150
2010,Fire_coral,LTER 1,40,0.2,100
2010,Fire_coral,LTER 2,232,1.16,100
2010,Fire_coral,LTER 4,308,1.54,100
2010,Fire_coral,LTER 5,152,0.76,100
2010,Fire_coral,LTER 6,36,0.18,50
2010,Hard_coral,LTER 1,3736,18.68,199
2010,Hard_coral,LTER 2,1904,9.52,200
2010,Hard_coral,LTER 3,3056,15.28,200
2010,Hard_coral,LTER 4,2516,12.58,199
2010,Hard_coral,LTER 5,5380,26.9,200
2010,Hard_coral,LTER 6,3084,15.42,200
2010,Heteractis,LTER 3,20,0.1,50
2010,Macroalgae,LTER 1,900,4.5,695
2010,Macroalgae,LTER 2,1204,6.02,700
2010,Macroalgae,LTER 3,1696,8.48,850
2010,Macroalgae,LTER 4,940,4.7,996
2010,Macroalgae,LTER 5,1292,6.46,750
2010,Macroalgae,LTER 6,2236,11.18,1000
2010,No_data,LTER 1,-1,-0.005,1
2010,No_data,LTER 4,-1,-0.005,1
2010,Soft_coral,LTER 4,12,0.06,50
2010,Soft_coral,LTER 5,48,0.24,100
2010,Tridacna,LTER 4,8,0.04,49
2010,Tridacna,LTER 5,8,0.04,50
2010,Tridacna,LTER 6,8,0.04,50
2010,Turf,LTER 1,10676,53.38,199
2010,Turf,LTER 2,12772,63.86,200
2010,Turf,LTER 3,10744,53.72,200
2010,Turf,LTER 4,11032,55.16,199
2010,Turf,LTER 5,8460,42.3,200
2010,Turf,LTER 6,9136,45.68,200
2011,Abiotic,LTER 1,960,4.8,200
2011,Abiotic,LTER 2,1088,5.44,250
2011,Abiotic,LTER 3,1740,8.7,200
2011,Abiotic,LTER 4,1880,9.4,200
2011,Abiotic,LTER 5,2288,11.44,200
2011,Abiotic,LTER 6,2088,10.44,200
2011,Corallimorpharia,LTER 5,28,0.14,50
2011,Crustose_corallines,LTER 1,2140,10.7,302
2011,Crustose_corallines,LTER 2,2016,10.08,400
2011,Crustose_corallines,LTER 3,3136,15.68,300
2011,Crustose_corallines,LTER 4,2840,14.2,300
2011,Crustose_corallines,LTER 5,2412,12.06,300
2011,Crustose_corallines,LTER 6,3312,16.56,300
2011,Cyanophyta,LTER 1,184,0.92,100
2011,Cyanophyta,LTER 2,44,0.22,100
2011,Cyanophyta,LTER 3,60,0.3,100
2011,Cyanophyta,LTER 4,284,1.42,200
2011,Cyanophyta,LTER 5,324,1.62,100
2011,Cyanophyta,LTER 6,112,0.56,200
2011,Fire_coral,LTER 1,56,0.28,100
2011,Fire_coral,LTER 2,204,1.02,100
2011,Fire_coral,LTER 4,332,1.66,100
2011,Fire_coral,LTER 5,144,0.72,100
2011,Fire_coral,LTER 6,52,0.26,50
2011,Hard_coral,LTER 1,2796,13.98,200
2011,Hard_coral,LTER 2,1512,7.56,200
2011,Hard_coral,LTER 3,3096,15.48,200
2011,Hard_coral,LTER 4,2948,14.74,200
2011,Hard_coral,LTER 5,5084,25.42,200
2011,Hard_coral,LTER 6,3436,17.18,200
2011,Heteractis,LTER 3,32,0.16,50
2011,Macroalgae,LTER 1,1168,5.84,1150
2011,Macroalgae,LTER 2,1288,6.44,900
2011,Macroalgae,LTER 3,912,4.56,750
2011,Macroalgae,LTER 4,1216,6.08,950
2011,Macroalgae,LTER 5,1356,6.78,1050
2011,Macroalgae,LTER 6,1788,8.94,1450
2011,Soft_coral,LTER 4,24,0.12,50
2011,Soft_coral,LTER 5,52,0.26,50
2011,Sponge,LTER 5,12,0.06,50
2011,Turf,LTER 1,12696,63.48,200
2011,Turf,LTER 2,13848,69.24,200
2011,Turf,LTER 3,11024,55.12,200
2011,Turf,LTER 4,10476,52.38,200
2011,Turf,LTER 5,8300,41.5,200
2011,Turf,LTER 6,9212,46.06,200
2012,Abiotic,LTER 1,1104,5.52,200
2012,Abiotic,LTER 2,968,4.84,200
2012,Abiotic,LTER 3,1632,8.16,200
2012,Abiotic,LTER 4,2076,10.38,200
2012,Abiotic,LTER 5,2492,12.46,200
2012,Abiotic,LTER 6,1860,9.3,200
2012,Corallimorpharia,LTER 2,56,0.28,100
2012,Corallimorpharia,LTER 6,40,0.2,50
2012,Crustose_corallines,LTER 1,2128,10.64,300
2012,Crustose_corallines,LTER 2,1916,9.58,200
2012,Crustose_corallines,LTER 3,3584,17.92,300
2012,Crustose_corallines,LTER 4,2156,10.78,300
2012,Crustose_corallines,LTER 5,2404,12.02,300
2012,Crustose_corallines,LTER 6,2716,13.58,200
2012,Cyanophyta,LTER 3,24,0.12,50
2012,Cyanophyta,LTER 4,32,0.16,100
2012,Cyanophyta,LTER 5,4,0.02,50
2012,Cyanophyta,LTER 6,4,0.02,50
2012,Fire_coral,LTER 1,88,0.44,100
2012,Fire_coral,LTER 2,300,1.5,100
2012,Fire_coral,LTER 4,312,1.56,50
2012,Fire_coral,LTER 5,248,1.24,100
2012,Fire_coral,LTER 6,36,0.18,50
2012,Hard_coral,LTER 1,1896,9.48,200
2012,Hard_coral,LTER 2,1284,6.42,200
2012,Hard_coral,LTER 3,3324,16.62,200
2012,Hard_coral,LTER 4,2560,12.8,200
2012,Hard_coral,LTER 5,5072,25.36,200
2012,Hard_coral,LTER 6,3860,19.3,200
2012,Heteractis,LTER 3,68,0.34,50
2012,Macroalgae,LTER 1,1824,9.12,900
2012,Macroalgae,LTER 2,1852,9.26,950
2012,Macroalgae,LTER 3,2136,10.68,1400
2012,Macroalgae,LTER 4,1784,8.92,850
2012,Macroalgae,LTER 5,2180,10.9,850
2012,Macroalgae,LTER 6,3112,15.56,1350
2012,Soft_coral,LTER 4,8,0.04,50
2012,Soft_coral,LTER 5,24,0.12,50
2012,Sponge,LTER 2,4,0.02,50
2012,Sponge,LTER 3,4,0.02,50
2012,Turf,LTER 1,12960,64.8,200
2012,Turf,LTER 2,13620,68.1,200
2012,Turf,LTER 3,9228,46.14,200
2012,Turf,LTER 4,11068,55.34,200
2012,Turf,LTER 5,7576,37.88,200
2012,Turf,LTER 6,8372,41.86,200
2013,Abiotic,LTER 1,1068,5.34,250
2013,Abiotic,LTER 2,888,4.44,200
2013,Abiotic,LTER 3,1900,9.5,200
2013,Abiotic,LTER 4,1848,9.24,200
2013,Abiotic,LTER 5,2360,11.8,200
2013,Abiotic,LTER 6,1940,9.7,200
2013,Corallimorpharia,LTER 1,4,0.02,50
2013,Corallimorpharia,LTER 2,92,0.46,100
2013,Corallimorpharia,LTER 3,8,0.04,50
2013,Corallimorpharia,LTER 5,32,0.16,100
2013,Corallimorpharia,LTER 6,48,0.24,50
2013,Crustose_corallines,LTER 1,2448,12.24,400
2013,Crustose_corallines,LTER 2,2732,13.66,350
2013,Crustose_corallines,LTER 3,5140,25.7,300
2013,Crustose_corallines,LTER 4,2868,14.34,350
2013,Crustose_corallines,LTER 5,2712,13.56,300
2013,Crustose_corallines,LTER 6,2592,12.96,300
2013,Cyanophyta,LTER 2,4,0.02,50
2013,Cyanophyta,LTER 4,12,0.06,100
2013,Cyanophyta,LTER 5,144,0.72,50
2013,Cyanophyta,LTER 6,40,0.2,100
2013,Fire_coral,LTER 1,124,0.62,100
2013,Fire_coral,LTER 2,412,2.06,150
2013,Fire_coral,LTER 4,352,1.76,100
2013,Fire_coral,LTER 5,196,0.98,100
2013,Fire_coral,LTER 6,44,0.22,50
2013,Hard_coral,LTER 1,1728,8.64,200
2013,Hard_coral,LTER 2,1592,7.96,200
2013,Hard_coral,LTER 3,2624,13.12,200
2013,Hard_coral,LTER 4,3008,15.04,200
2013,Hard_coral,LTER 5,5556,27.78,200
2013,Hard_coral,LTER 6,4364,21.82,200
2013,Heteractis,LTER 3,36,0.18,50
2013,Macroalgae,LTER 1,1580,7.9,800
2013,Macroalgae,LTER 2,1652,8.26,850
2013,Macroalgae,LTER 3,1532,7.66,850
2013,Macroalgae,LTER 4,664,3.32,1200
2013,Macroalgae,LTER 5,1432,7.16,1000
2013,Macroalgae,LTER 6,1812,9.06,1100
2013,Soft_coral,LTER 4,20,0.1,50
2013,Soft_coral,LTER 5,80,0.4,50
2013,Sponge,LTER 1,8,0.04,50
2013,Sponge,LTER 5,8,0.04,50
2013,Turf,LTER 1,13040,65.2,200
2013,Turf,LTER 2,12628,63.14,200
2013,Turf,LTER 3,8760,43.8,200
2013,Turf,LTER 4,11228,56.14,200
2013,Turf,LTER 5,7480,37.4,200
2013,Turf,LTER 6,9160,45.8,200
2014,Abiotic,LTER 1,1560,7.8,199
2014,Abiotic,LTER 2,1636,8.18,200
2014,Abiotic,LTER 3,1804,9.02,200
2014,Abiotic,LTER 4,3680,18.4,200
2014,Abiotic,LTER 5,2820,14.1,200
2014,Abiotic,LTER 6,2444,12.22,200
2014,Corallimorpharia,LTER 1,4,0.02,49
2014,Corallimorpharia,LTER 2,72,0.36,100
2014,Corallimorpharia,LTER 5,52,0.26,50
2014,Corallimorpharia,LTER 6,36,0.18,50
2014,Crustose_corallines,LTER 1,2444,12.22,299
2014,Crustose_corallines,LTER 2,2000,10,350
2014,Crustose_corallines,LTER 3,3028,15.14,350
2014,Crustose_corallines,LTER 4,2688,13.44,300
2014,Crustose_corallines,LTER 5,2716,13.58,300
2014,Crustose_corallines,LTER 6,2632,13.16,300
2014,Cyanophyta,LTER 1,68,0.34,149
2014,Cyanophyta,LTER 2,60,0.3,150
2014,Cyanophyta,LTER 3,56,0.28,150
2014,Cyanophyta,LTER 4,192,0.96,100
2014,Cyanophyta,LTER 5,96,0.48,200
2014,Cyanophyta,LTER 6,32,0.16,150
2014,Fire_coral,LTER 1,116,0.58,50
2014,Fire_coral,LTER 2,408,2.04,150
2014,Fire_coral,LTER 4,372,1.86,100
2014,Fire_coral,LTER 5,304,1.52,100
2014,Fire_coral,LTER 6,72,0.36,100
2014,Hard_coral,LTER 1,2444,12.22,199
2014,Hard_coral,LTER 2,1780,8.9,200
2014,Hard_coral,LTER 3,2548,12.74,200
2014,Hard_coral,LTER 4,2880,14.4,200
2014,Hard_coral,LTER 5,5472,27.36,200
2014,Hard_coral,LTER 6,4336,21.68,200
2014,Heteractis,LTER 3,28,0.14,50
2014,Macroalgae,LTER 1,2004,10.02,994
2014,Macroalgae,LTER 2,2068,10.34,850
2014,Macroalgae,LTER 3,2968,14.84,1300
2014,Macroalgae,LTER 4,784,3.92,1350
2014,Macroalgae,LTER 5,836,4.18,1150
2014,Macroalgae,LTER 6,1104,5.52,1100
2014,No_data,LTER 1,-1,-0.005,1
2014,Soft_coral,LTER 4,16,0.08,50
2014,Soft_coral,LTER 5,24,0.12,50
2014,Sponge,LTER 5,12,0.06,50
2014,Tridacna,LTER 3,4,0.02,50
2014,Tridacna,LTER 4,8,0.04,50
2014,Tridacna,LTER 6,12,0.06,50
2014,Turf,LTER 1,11260,56.3,199
2014,Turf,LTER 2,11976,59.88,250
2014,Turf,LTER 3,9564,47.82,200
2014,Turf,LTER 4,9380,46.9,200
2014,Turf,LTER 5,7668,38.34,300
2014,Turf,LTER 6,9332,46.66,300
2015,Abiotic,LTER 1,2652,13.26,200
2015,Abiotic,LTER 2,1552,7.76,200
2015,Abiotic,LTER 3,2376,11.88,200
2015,Abiotic,LTER 4,3788,18.94,200
2015,Abiotic,LTER 5,2328,11.64,200
2015,Abiotic,LTER 6,1936,9.68,200
2015,Corallimorpharia,LTER 2,32,0.16,100
2015,Corallimorpharia,LTER 4,8,0.04,50
2015,Corallimorpharia,LTER 5,100,0.5,50
2015,Crustose_corallines,LTER 1,2128,10.64,350
2015,Crustose_corallines,LTER 2,1616,8.08,300
2015,Crustose_corallines,LTER 3,2676,13.38,300
2015,Crustose_corallines,LTER 4,2488,12.44,300
2015,Crustose_corallines,LTER 5,2892,14.46,300
2015,Crustose_corallines,LTER 6,2484,12.42,300
2015,Cyanophyta,LTER 2,12,0.06,50
2015,Cyanophyta,LTER 3,20,0.1,100
2015,Cyanophyta,LTER 4,416,2.08,200
2015,Cyanophyta,LTER 5,388,1.94,150
2015,Cyanophyta,LTER 6,192,0.96,150
2015,Fire_coral,LTER 1,132,0.66,50
2015,Fire_coral,LTER 2,468,2.34,150
2015,Fire_coral,LTER 3,4,0.02,50
2015,Fire_coral,LTER 4,356,1.78,100
2015,Fire_coral,LTER 5,324,1.62,100
2015,Fire_coral,LTER 6,68,0.34,100
2015,Hard_coral,LTER 1,3576,17.88,200
2015,Hard_coral,LTER 2,2532,12.66,200
2015,Hard_coral,LTER 3,2228,11.14,200
2015,Hard_coral,LTER 4,3676,18.38,200
2015,Hard_coral,LTER 5,6008,30.04,200
2015,Hard_coral,LTER 6,4804,24.02,200
2015,Heteractis,LTER 3,44,0.22,50
2015,Macroalgae,LTER 1,3268,16.34,850
2015,Macroalgae,LTER 2,2556,12.78,1000
2015,Macroalgae,LTER 3,3756,18.78,1300
2015,Macroalgae,LTER 4,1200,6,1000
2015,Macroalgae,LTER 5,768,3.84,1600
2015,Macroalgae,LTER 6,1644,8.22,1250
2015,Soft_coral,LTER 4,16,0.08,50
2015,Soft_coral,LTER 5,108,0.54,50
2015,Sponge,LTER 5,28,0.14,50
2015,Turf,LTER 1,8244,41.22,300
2015,Turf,LTER 2,11232,56.16,300
2015,Turf,LTER 3,8896,44.48,300
2015,Turf,LTER 4,8052,40.26,200
2015,Turf,LTER 5,7056,35.28,300
2015,Turf,LTER 6,8872,44.36,200
2016,Abiotic,LTER 1,2812,14.06,200
2016,Abiotic,LTER 2,1652,8.26,200
2016,Abiotic,LTER 3,2620,13.1,200
2016,Abiotic,LTER 4,2952,14.76,200
2016,Abiotic,LTER 5,2644,13.22,200
2016,Abiotic,LTER 6,2532,12.66,200
2016,Corallimorpharia,LTER 1,4,0.02,50
2016,Corallimorpharia,LTER 2,28,0.14,50
2016,Corallimorpharia,LTER 4,4,0.02,50
2016,Corallimorpharia,LTER 5,36,0.18,50
2016,Corallimorpharia,LTER 6,36,0.18,50
2016,Crustose_corallines,LTER 1,2036,10.18,350
2016,Crustose_corallines,LTER 2,1664,8.32,300
2016,Crustose_corallines,LTER 3,3736,18.68,300
2016,Crustose_corallines,LTER 4,3592,17.96,350
2016,Crustose_corallines,LTER 5,3060,15.3,300
2016,Crustose_corallines,LTER 6,2484,12.42,300
2016,Cyanophyta,LTER 1,216,1.08,150
2016,Cyanophyta,LTER 2,144,0.72,150
2016,Cyanophyta,LTER 3,176,0.88,100
2016,Cyanophyta,LTER 4,232,1.16,150
2016,Cyanophyta,LTER 5,356,1.78,150
2016,Cyanophyta,LTER 6,556,2.78,150
2016,Fire_coral,LTER 1,132,0.66,50
2016,Fire_coral,LTER 2,532,2.66,100
2016,Fire_coral,LTER 4,296,1.48,100
2016,Fire_coral,LTER 5,304,1.52,100
2016,Fire_coral,LTER 6,64,0.32,100
2016,Hard_coral,LTER 1,4352,21.76,200
2016,Hard_coral,LTER 2,2952,14.76,200
2016,Hard_coral,LTER 3,2824,14.12,200
2016,Hard_coral,LTER 4,4260,21.3,200
2016,Hard_coral,LTER 5,6852,34.26,200
2016,Hard_coral,LTER 6,3940,19.7,200
2016,Macroalgae,LTER 1,3520,17.6,1100
2016,Macroalgae,LTER 2,2976,14.88,1250
2016,Macroalgae,LTER 3,3024,15.12,1400
2016,Macroalgae,LTER 4,1112,5.56,1050
2016,Macroalgae,LTER 5,464,2.32,750
2016,Macroalgae,LTER 6,2580,12.9,850
2016,Soft_coral,LTER 4,8,0.04,50
2016,Soft_coral,LTER 5,136,0.68,50
2016,Sponge,LTER 2,8,0.04,100
2016,Sponge,LTER 5,12,0.06,50
2016,Tridacna,LTER 1,4,0.02,50
2016,Tridacna,LTER 3,16,0.08,50
2016,Tridacna,LTER 4,16,0.08,50
2016,Turf,LTER 1,6924,34.62,300
2016,Turf,LTER 2,10044,50.22,250
2016,Turf,LTER 3,7604,38.02,300
2016,Turf,LTER 4,7528,37.64,250
2016,Turf,LTER 5,6136,30.68,300
2016,Turf,LTER 6,7808,39.04,300
2017,Abiotic,LTER 1,4528,22.64,300
