Year,Spp_grouping,Habitat,Total_percent,Mean_perc_cov,N
2008,Hard_coral,Outer 10,7678,25.593333333333334,300
2008,Hard_coral,Outer 17,5332,17.773333333333333,298
2008,Macroalgae,Backreef,804,2.68,1550
2008,Macroalgae,Fringing,1896,6.32,1400
2008,Macroalgae,Outer 10,4536,15.12,1550
2008,Macroalgae,Outer 17,4120,13.733333333333333,1191
2008,No_data,Outer 17,-2,-0.006666666666666667,2
2008,Soft_coral,Fringing,12,0.04,23
2008,Soft_coral,Outer 10,8,0.02666666666666667,3
2008,Soft_coral,Outer 17,48,0.16,58
2008,Sponge,Fringing,76,0.25333333333333335,18
2008,Turf,Backreef,13060,43.53333333333333,350
2008,Turf,Fringing,13388,44.626666666666665,450
2008,Turf,Outer 10,12958,43.193333333333335,300
2008,Turf,Outer 17,14156,47.18666666666667,298
2009,Abiotic,Backreef,6008,20.026666666666667,300
2009,Abiotic,Fringing,2964,9.88,295
2009,Abiotic,Outer 10,268,0.8933333333333333,300
2009,Abiotic,Outer 17,840,2.8,296
2009,Corallimorpharia,Backreef,4,0.013333333333333334,50
2009,Corallimorpharia,Fringing,92,0.30666666666666664,195
2009,Crustose_corallines,Backreef,1060,3.533333333333333,300
2009,Crustose_corallines,Fringing,752,2.506666666666667,295
2009,Crustose_corallines,Outer 10,4922,16.406666666666666,600
2009,Crustose_corallines,Outer 17,5032,16.773333333333333,542
2009,Cyanophyta,Backreef,100,0.3333333333333333,250
2009,Cyanophyta,Fringing,168,0.56,245
2009,Cyanophyta,Outer 10,2752,9.173333333333334,300
2009,Cyanophyta,Outer 17,2056,6.8533333333333335,246
2009,Fire_coral,Fringing,80,0.26666666666666666,50
2009,Fire_coral,Outer 10,584,1.9466666666666668,250
2009,Fire_coral,Outer 17,104,0.3466666666666667,196
2009,Hard_coral,Backreef,7352,24.506666666666668,300
2009,Hard_coral,Fringing,8488,28.293333333333333,295
2009,Hard_coral,Outer 10,3028,10.093333333333334,300
2009,Hard_coral,Outer 17,852,2.84,296
2009,Macroalgae,Backreef,1136,3.7866666666666666,1200
2009,Macroalgae,Fringing,1856,6.1866666666666665,1390
2009,Macroalgae,Outer 10,5004,16.68,1350
2009,Macroalgae,Outer 17,6328,21.093333333333334,843
2009,No_data,Fringing,-5,-0.016666666666666666,5
2009,No_data,Outer 17,-4,-0.013333333333333334,4
2009,Soft_coral,Outer 10,8,0.02666666666666667,50
2009,Soft_coral,Outer 17,36,0.12,96
2009,Sponge,Backreef,4,0.013333333333333334,50
2009,Sponge,Fringing,16,0.05333333333333334,145
2009,Turf,Backreef,14336,47.78666666666667,350
2009,Turf,Fringing,15084,50.28,345
2009,Turf,Outer 10,13434,44.78,300
2009,Turf,Outer 17,14352,47.84,296
2010,Abiotic,Backreef,5568,18.56,299
2010,Abiotic,Fringing,2900,9.666666666666666,299
2010,Abiotic,Outer 10,304,1.0133333333333334,300
2010,Abiotic,Outer 17,1088,3.6266666666666665,300
2010,Ascidian,Fringing,16,0.05333333333333334,100
2010,Corallimorpharia,Fringing,48,0.16,150
2010,Crustose_corallines,Backreef,1436,4.786666666666667,299
2010,Crustose_corallines,Fringing,824,2.7466666666666666,349
2010,Crustose_corallines,Outer 10,7348,24.493333333333332,350
2010,Crustose_corallines,Outer 17,8384,27.946666666666665,350
2010,Cyanophyta,Backreef,20,0.06666666666666667,100
2010,Cyanophyta,Fringing,104,0.3466666666666667,199
2010,Cyanophyta,Outer 10,40,0.13333333333333333,150
2010,Cyanophyta,Outer 17,84,0.28,50
2010,Fire_coral,Fringing,100,0.3333333333333333,50
2010,Fire_coral,Outer 10,580,1.9333333333333333,250
2010,Fire_coral,Outer 17,88,0.29333333333333333,150
2010,Hard_coral,Backreef,7720,25.733333333333334,299
2010,Hard_coral,Fringing,9648,32.16,299
2010,Hard_coral,Outer 10,1708,5.693333333333333,300
2010,Hard_coral,Outer 17,600,2,300
2010,Heteractis,Outer 17,20,0.06666666666666667,50
2010,Macroalgae,Backreef,1376,4.586666666666667,1346
2010,Macroalgae,Fringing,1808,6.026666666666666,1145
2010,Macroalgae,Outer 10,2584,8.613333333333333,1300
2010,Macroalgae,Outer 17,2500,8.333333333333334,1200
2010,No_data,Backreef,-1,-0.0033333333333333335,1
2010,No_data,Fringing,-1,-0.0033333333333333335,1
2010,Soft_coral,Outer 10,4,0.013333333333333334,50
2010,Soft_coral,Outer 17,56,0.18666666666666668,100
2010,Tridacna,Backreef,24,0.08,149
2010,Turf,Backreef,13756,45.85333333333333,299
2010,Turf,Fringing,14452,48.17333333333333,299
2010,Turf,Outer 10,17432,58.10666666666667,300
2010,Turf,Outer 17,17180,57.266666666666666,300
2011,Abiotic,Backreef,6496,21.653333333333332,300
2011,Abiotic,Fringing,2224,7.413333333333333,300
2011,Abiotic,Outer 10,556,1.8533333333333333,300
2011,Abiotic,Outer 17,768,2.56,350
2011,Corallimorpharia,Fringing,28,0.09333333333333334,50
2011,Crustose_corallines,Backreef,1320,4.4,352
2011,Crustose_corallines,Fringing,1360,4.533333333333333,350
2011,Crustose_corallines,Outer 10,4724,15.746666666666666,600
2011,Crustose_corallines,Outer 17,8452,28.173333333333332,600
2011,Cyanophyta,Backreef,96,0.32,250
2011,Cyanophyta,Fringing,360,1.2,200
2011,Cyanophyta,Outer 10,512,1.7066666666666668,250
2011,Cyanophyta,Outer 17,40,0.13333333333333333,100
2011,Fire_coral,Fringing,92,0.30666666666666664,50
2011,Fire_coral,Outer 10,620,2.066666666666667,250
2011,Fire_coral,Outer 17,76,0.25333333333333335,150
2011,Hard_coral,Backreef,7404,24.68,300
2011,Hard_coral,Fringing,9644,32.14666666666667,300
2011,Hard_coral,Outer 10,1236,4.12,300
2011,Hard_coral,Outer 17,588,1.96,300
2011,Heteractis,Outer 17,32,0.10666666666666667,50
2011,Macroalgae,Backreef,2148,7.16,1900
2011,Macroalgae,Fringing,1788,5.96,1700
2011,Macroalgae,Outer 10,2188,7.293333333333333,1600
2011,Macroalgae,Outer 17,1604,5.346666666666667,1050
2011,Soft_coral,Outer 17,76,0.25333333333333335,100
2011,Sponge,Fringing,12,0.04,50
2011,Turf,Backreef,12536,41.78666666666667,300
2011,Turf,Fringing,14492,48.306666666666665,300
2011,Turf,Outer 10,20164,67.21333333333334,300
2011,Turf,Outer 17,18364,61.21333333333333,300
2012,Abiotic,Backreef,6252,20.84,300
2012,Abiotic,Fringing,2780,9.266666666666667,300
2012,Abiotic,Outer 10,316,1.0533333333333332,300
2012,Abiotic,Outer 17,784,2.6133333333333333,300
2012,Corallimorpharia,Backreef,24,0.08,50
2012,Corallimorpharia,Fringing,72,0.24,100
2012,Crustose_corallines,Backreef,1628,5.426666666666667,300
2012,Crustose_corallines,Fringing,1088,3.6266666666666665,350
2012,Crustose_corallines,Outer 10,4228,14.093333333333334,450
2012,Crustose_corallines,Outer 17,7960,26.533333333333335,500
2012,Cyanophyta,Backreef,40,0.13333333333333333,150
2012,Cyanophyta,Fringing,24,0.08,100
2012,Fire_coral,Fringing,80,0.26666666666666666,50
2012,Fire_coral,Outer 10,728,2.4266666666666667,250
2012,Fire_coral,Outer 17,176,0.5866666666666667,100
2012,Hard_coral,Backreef,6492,21.64,300
2012,Hard_coral,Fringing,8680,28.933333333333334,300
2012,Hard_coral,Outer 10,1848,6.16,300
2012,Hard_coral,Outer 17,976,3.2533333333333334,300
2012,Heteractis,Outer 17,68,0.22666666666666666,50
2012,Macroalgae,Backreef,2652,8.84,2050
2012,Macroalgae,Fringing,2828,9.426666666666666,1450
2012,Macroalgae,Outer 10,4084,13.613333333333333,1600
2012,Macroalgae,Outer 17,3324,11.08,1200
2012,Soft_coral,Outer 17,32,0.10666666666666667,100
2012,Sponge,Outer 10,4,0.013333333333333334,50
2012,Sponge,Outer 17,4,0.013333333333333334,50
2012,Turf,Backreef,12912,43.04,300
2012,Turf,Fringing,14448,48.16,300
2012,Turf,Outer 10,18792,62.64,300
2012,Turf,Outer 17,16672,55.57333333333333,300
2013,Abiotic,Backreef,6288,20.96,300
2013,Abiotic,Fringing,2712,9.04,350
2013,Abiotic,Outer 10,280,0.9333333333333333,300
2013,Abiotic,Outer 17,724,2.4133333333333336,300
2013,Corallimorpharia,Backreef,76,0.25333333333333335,100
2013,Corallimorpharia,Fringing,108,0.36,250
2013,Crustose_corallines,Backreef,1500,5,350
2013,Crustose_corallines,Fringing,1084,3.6133333333333333,450
2013,Crustose_corallines,Outer 10,5780,19.266666666666666,600
2013,Crustose_corallines,Outer 17,10128,33.76,600
2013,Cyanophyta,Fringing,12,0.04,100
2013,Cyanophyta,Outer 10,176,0.5866666666666667,100
2013,Cyanophyta,Outer 17,12,0.04,100
2013,Fire_coral,Fringing,112,0.37333333333333335,50
2013,Fire_coral,Outer 10,920,3.066666666666667,250
2013,Fire_coral,Outer 17,96,0.32,200
2013,Hard_coral,Backreef,6012,20.04,300
2013,Hard_coral,Fringing,7808,26.026666666666667,300
2013,Hard_coral,Outer 10,3084,10.28,300
2013,Hard_coral,Outer 17,1968,6.56,300
2013,Heteractis,Outer 17,36,0.12,50
2013,Macroalgae,Backreef,3028,10.093333333333334,1950
2013,Macroalgae,Fringing,1316,4.386666666666667,1350
2013,Macroalgae,Outer 10,2704,9.013333333333334,1500
2013,Macroalgae,Outer 17,1624,5.413333333333333,1000
2013,Soft_coral,Outer 17,100,0.3333333333333333,100
2013,Sponge,Backreef,8,0.02666666666666667,50
2013,Sponge,Fringing,8,0.02666666666666667,50
2013,Turf,Backreef,13088,43.626666666666665,300
2013,Turf,Fringing,16840,56.13333333333333,300
2013,Turf,Outer 10,17056,56.85333333333333,300
2013,Turf,Outer 17,15312,51.04,300
2014,Abiotic,Backreef,7408,24.69333333333333,300
2014,Abiotic,Fringing,5052,16.84,299
2014,Abiotic,Outer 10,608,2.026666666666667,300
2014,Abiotic,Outer 17,876,2.92,300
2014,Corallimorpharia,Backreef,64,0.21333333333333335,50
2014,Corallimorpharia,Fringing,100,0.3333333333333333,199
2014,Crustose_corallines,Backreef,1372,4.573333333333333,350
2014,Crustose_corallines,Fringing,1012,3.3733333333333335,449
2014,Crustose_corallines,Outer 10,4952,16.506666666666668,500
2014,Crustose_corallines,Outer 17,8172,27.24,600
2014,Cyanophyta,Backreef,156,0.52,300
2014,Cyanophyta,Fringing,292,0.9733333333333334,299
2014,Cyanophyta,Outer 10,48,0.16,200
2014,Cyanophyta,Outer 17,8,0.02666666666666667,100
2014,Fire_coral,Fringing,96,0.32,50
2014,Fire_coral,Outer 10,988,3.2933333333333334,250
2014,Fire_coral,Outer 17,188,0.6266666666666667,200
2014,Hard_coral,Backreef,5012,16.706666666666667,300
2014,Hard_coral,Fringing,7192,23.973333333333333,299
2014,Hard_coral,Outer 10,4588,15.293333333333333,300
2014,Hard_coral,Outer 17,2668,8.893333333333333,300
2014,Heteractis,Outer 17,28,0.09333333333333334,50
2014,Macroalgae,Backreef,3900,13,2150
2014,Macroalgae,Fringing,1920,6.4,1794
2014,Macroalgae,Outer 10,2104,7.013333333333334,1800
2014,Macroalgae,Outer 17,1840,6.133333333333334,1000
2014,No_data,Fringing,-1,-0.0033333333333333335,1
2014,Soft_coral,Outer 17,40,0.13333333333333333,100
2014,Sponge,Fringing,12,0.04,50
2014,Tridacna,Backreef,24,0.08,150
2014,Turf,Backreef,12064,40.21333333333333,450
2014,Turf,Fringing,14224,47.413333333333334,399
2014,Turf,Outer 10,16712,55.70666666666666,300
2014,Turf,Outer 17,16180,53.93333333333333,300
2015,Abiotic,Backreef,8568,28.56,300
2015,Abiotic,Fringing,4784,15.946666666666667,300
2015,Abiotic,Outer 10,488,1.6266666666666667,300
2015,Abiotic,Outer 17,792,2.64,300
2015,Corallimorpharia,Backreef,16,0.05333333333333334,50
2015,Corallimorpharia,Fringing,124,0.41333333333333333,150
2015,Crustose_corallines,Backreef,656,2.1866666666666665,350
2015,Crustose_corallines,Fringing,728,2.4266666666666667,300
2015,Crustose_corallines,Outer 10,5260,17.533333333333335,600
2015,Crustose_corallines,Outer 17,7640,25.466666666666665,600
2015,Cyanophyta,Backreef,32,0.10666666666666667,200
2015,Cyanophyta,Fringing,144,0.48,200
2015,Cyanophyta,Outer 10,832,2.7733333333333334,150
2015,Cyanophyta,Outer 17,20,0.06666666666666667,100
2015,Fire_coral,Fringing,92,0.30666666666666664,50
2015,Fire_coral,Outer 10,1040,3.466666666666667,300
2015,Fire_coral,Outer 17,220,0.7333333333333333,200
2015,Hard_coral,Backreef,4452,14.84,300
2015,Hard_coral,Fringing,6644,22.14666666666667,300
2015,Hard_coral,Outer 10,7300,24.333333333333332,300
2015,Hard_coral,Outer 17,4428,14.76,300
2015,Heteractis,Outer 17,44,0.14666666666666667,50
2015,Macroalgae,Backreef,5092,16.973333333333333,2950
2015,Macroalgae,Fringing,3636,12.12,1750
2015,Macroalgae,Outer 10,2156,7.1866666666666665,1450
2015,Macroalgae,Outer 17,2308,7.693333333333333,850
2015,Soft_coral,Outer 17,124,0.41333333333333333,100
2015,Sponge,Fringing,28,0.09333333333333334,50
2015,Turf,Backreef,11184,37.28,500
2015,Turf,Fringing,13820,46.06666666666667,500
2015,Turf,Outer 10,12924,43.08,300
2015,Turf,Outer 17,14424,48.08,300
2016,Abiotic,Backreef,9024,30.08,300
2016,Abiotic,Fringing,5068,16.893333333333334,300
2016,Abiotic,Outer 10,284,0.9466666666666667,300
2016,Abiotic,Outer 17,836,2.7866666666666666,300
2016,Corallimorpharia,Fringing,108,0.36,250
2016,Crustose_corallines,Backreef,656,2.1866666666666665,350
2016,Crustose_corallines,Fringing,352,1.1733333333333333,350
2016,Crustose_corallines,Outer 10,5960,19.866666666666667,600
2016,Crustose_corallines,Outer 17,9604,32.013333333333335,600
2016,Cyanophyta,Backreef,424,1.4133333333333333,300
2016,Cyanophyta,Fringing,908,3.026666666666667,300
2016,Cyanophyta,Outer 10,348,1.16,250
2016,Fire_coral,Fringing,144,0.48,50
2016,Fire_coral,Outer 10,1004,3.3466666666666667,250
2016,Fire_coral,Outer 17,180,0.6,150
2016,Hard_coral,Backreef,4220,14.066666666666666,300
2016,Hard_coral,Fringing,6192,20.64,300
2016,Hard_coral,Outer 10,9396,31.32,300
2016,Hard_coral,Outer 17,5372,17.906666666666666,300
2016,Macroalgae,Backreef,6252,20.84,2750
2016,Macroalgae,Fringing,4348,14.493333333333334,1600
2016,Macroalgae,Outer 10,1648,5.493333333333333,1300
2016,Macroalgae,Outer 17,1428,4.76,750
2016,Soft_coral,Outer 17,144,0.48,100
2016,Sponge,Backreef,4,0.013333333333333334,50
2016,Sponge,Fringing,16,0.05333333333333334,100
2016,Tridacna,Backreef,32,0.10666666666666667,100
2016,Tridacna,Fringing,4,0.013333333333333334,50
2016,Turf,Backreef,9388,31.293333333333333,550
2016,Turf,Fringing,12860,42.86666666666667,550
2016,Turf,Outer 10,11360,37.86666666666667,300
2016,Turf,Outer 17,12436,41.45333333333333,300
2017,Abiotic,Backreef,11308,37.693333333333335,899
2017,Abiotic,Fringing,10164,33.88,899
2017,Abiotic,Outer 10,400,1.3333333333333333,300
2017,Abiotic,Outer 17,876,2.92,300
2017,Crustose_corallines,Backreef,1460,4.866666666666666,450
2017,Crustose_corallines,Fringing,1680,5.6,400
2017,Crustose_corallines,Outer 10,5136,17.12,600
2017,Crustose_corallines,Outer 17,7516,25.053333333333335,590
2017,Cyanophyta,Backreef,52,0.17333333333333334,150
2017,Cyanophyta,Fringing,204,0.68,150
2017,Cyanophyta,Outer 10,580,1.9333333333333333,200
2017,Cyanophyta,Outer 17,96,0.32,140
2017,Fire_coral,Outer 10,836,2.7866666666666666,250
2017,Fire_coral,Outer 17,208,0.6933333333333334,200
2017,Hard_coral,Backreef,4648,15.493333333333334,300
2017,Hard_coral,Fringing,5432,18.106666666666666,300
2017,Hard_coral,Outer 10,11456,38.18666666666667,300
2017,Hard_coral,Outer 17,6440,21.466666666666665,300
2017,Macroalgae,Backreef,3476,11.586666666666666,1650
2017,Macroalgae,Fringing,2684,8.946666666666667,950
2017,Macroalgae,Outer 10,1408,4.693333333333333,1100
2017,Macroalgae,Outer 17,1136,3.7866666666666666,680
2017,No_data,Fringing,-49,-0.16333333333333333,49
2017,Soft_coral,Outer 17,120,0.4,100
2017,Sponge,Fringing,60,0.2,100
2017,Tridacna,Backreef,20,0.06666666666666667,150
2017,Turf,Backreef,9036,30.12,599
2017,Turf,Fringing,9728,32.42666666666667,600
2017,Turf,Outer 10,10224,34.08,300
2017,Turf,Outer 17,13616,45.38666666666666,300
2018,Abiotic,Backreef,9344,31.14666666666667,600
2018,Abiotic,Fringing,12016,40.053333333333335,600
2018,Abiotic,Outer 10,252,0.84,250
2018,Abiotic,Outer 17,904,3.013333333333333,300
2018,Crustose_corallines,Backreef,892,2.973333333333333,400
2018,Crustose_corallines,Fringing,452,1.5066666666666666,400
2018,Crustose_corallines,Outer 10,4600,15.333333333333334,600
2018,Crustose_corallines,Outer 17,6992,23.30666666666667,550
2018,Cyanophyta,Backreef,76,0.25333333333333335,250
2018,Cyanophyta,Fringing,208,0.6933333333333334,200
2018,Cyanophyta,Outer 10,20,0.06666666666666667,50
2018,Fire_coral,Fringing,124,0.41333333333333333,50
2018,Fire_coral,Outer 10,720,2.4,250
2018,Fire_coral,Outer 17,192,0.64,250
2018,Hard_coral,Backreef,4448,14.826666666666666,300
2018,Hard_coral,Fringing,5276,17.586666666666666,300
2018,Hard_coral,Outer 10,14092,46.973333333333336,300
2018,Hard_coral,Outer 17,7956,26.52,300
2018,Macroalgae,Backreef,3832,12.773333333333333,1450
2018,Macroalgae,Fringing,1328,4.426666666666667,650
2018,Macroalgae,Outer 10,1568,5.226666666666667,1050
2018,Macroalgae,Outer 17,1292,4.306666666666667,850
2018,Soft_coral,Outer 10,12,0.04,50
2018,Soft_coral,Outer 17,104,0.3466666666666667,50
2018,Sponge,Fringing,168,0.56,50
2018,Tridacna,Backreef,12,0.04,50
2018,Turf,Backreef,11396,37.986666666666665,600
2018,Turf,Fringing,10428,34.76,550
2018,Turf,Outer 10,8736,29.12,300
2018,Turf,Outer 17,12560,41.86666666666667,300
2019,Abiotic,Backreef,8440,28.133333333333333,350
2019,Abiotic,Fringing,7884,26.28,300
2019,Abiotic,Outer 10,288,0.96,300
2019,Abiotic,Outer 17,1116,3.72,300
2019,Ascidian,Outer 10,4,0.013333333333333334,50
2019,Crustose_corallines,Backreef,112,0.37333333333333335,350
2019,Crustose_corallines,Fringing,144,0.48,350
2019,Crustose_corallines,Outer 10,4124,13.746666666666666,600
2019,Crustose_corallines,Outer 17,7076,23.586666666666666,600
2019,Cyanophyta,Backreef,284,0.9466666666666667,300
2019,Cyanophyta,Fringing,100,0.3333333333333333,150
2019,Cyanophyta,Outer 10,528,1.76,250
2019,Cyanophyta,Outer 17,56,0.18666666666666668,100
2019,Fire_coral,Fringing,108,0.36,50
2019,Fire_coral,Outer 10,612,2.04,200
2019,Fire_coral,Outer 17,184,0.6133333333333333,200
2019,Hard_coral,Backreef,4440,14.8,300
2019,Hard_coral,Fringing,5112,17.04,300
2019,Hard_coral,Outer 10,14688,48.96,300
2019,Hard_coral,Outer 17,9048,30.16,300
2019,Macroalgae,Backreef,3684,12.28,1300
2019,Macroalgae,Fringing,2020,6.733333333333333,750
2019,Macroalgae,Outer 10,1748,5.826666666666667,1300
2019,Macroalgae,Outer 17,1036,3.453333333333333,900
2019,Soft_coral,Outer 10,8,0.02666666666666667,50
2019,Soft_coral,Outer 17,80,0.26666666666666666,100
2019,Sponge,Fringing,20,0.06666666666666667,50
2019,Tridacna,Backreef,4,0.013333333333333334,50
2019,Turf,Backreef,13024,43.413333333333334,600
2019,Turf,Fringing,14612,48.70666666666666,550
2019,Turf,Outer 10,8000,26.666666666666668,300
2019,Turf,Outer 17,11404,38.013333333333335,300
2020,Abiotic,Backreef,10120,33.733333333333334,350
2020,Abiotic,Fringing,12832,42.77333333333333,350
2020,Abiotic,Outer 10,312,1.04,300
2020,Abiotic,Outer 17,1176,3.92,300
2020,Crustose_corallines,Backreef,2208,7.36,350
2020,Crustose_corallines,Fringing,1716,5.72,300
2020,Crustose_corallines,Outer 10,3912,13.04,550
2020,Crustose_corallines,Outer 17,6184,20.613333333333333,600
2020,Cyanophyta,Backreef,128,0.4266666666666667,200
2020,Cyanophyta,Fringing,0,0,50
2020,Cyanophyta,Outer 10,92,0.30666666666666664,100
2020,Cyanophyta,Outer 17,132,0.44,150
2020,Fire_coral,Fringing,104,0.3466666666666667,50
2020,Fire_coral,Outer 10,168,0.56,200
2020,Fire_coral,Outer 17,72,0.24,150
2020,Hard_coral,Backreef,7968,26.56,300
2020,Hard_coral,Fringing,6448,21.493333333333332,300
2020,Hard_coral,Outer 10,5856,19.52,300
2020,Hard_coral,Outer 17,7580,25.266666666666666,300
2020,Macroalgae,Backreef,5960,19.866666666666667,1800
2020,Macroalgae,Fringing,4132,13.773333333333333,1050
2020,Macroalgae,Outer 10,7416,24.72,1100
2020,Macroalgae,Outer 17,1352,4.506666666666667,1000
2020,Soft_coral,Outer 10,20,0.06666666666666667,50
2020,Soft_coral,Outer 17,48,0.16,100
2020,Sponge,Fringing,12,0.04,50
2020,Tridacna,Backreef,104,0.3466666666666667,200
2020,Tridacna,Fringing,4,0.013333333333333334,50
2020,Turf,Backreef,3512,11.706666666666667,500
2020,Turf,Fringing,4752,15.84,400
2020,Turf,Outer 10,12224,40.74666666666667,300
2020,Turf,Outer 17,13456,44.85333333333333,300
