Year,Site,Shannon_index,Species_richness,Simpson_index,Pielou_evenness
2011,LTER 3,1.5506056659535925,9,0.7306863650353955,0.705711051090395
2011,LTER 4,1.571138052768513,13,0.7029951523545707,0.6125415490945315
2011,LTER 5,1.8959972919182455,15,0.804082804709322,0.7001337313268975
2011,LTER 6,2.1880045000315316,18,0.856137611418905,0.7569976056035539
2012,LTER 1,1.9990976058546874,11,0.840652893197907,0.8336884552600656
2012,LTER 2,1.7300636256221709,12,0.7778923258493532,0.69622882041455
2012,LTER 3,1.614640865077233,15,0.7254765812397425,0.5962374199784236
2012,LTER 4,1.6665897604182074,13,0.7603812664642362,0.649755425217279
2012,LTER 5,1.4709184901671835,9,0.6983856577729146,0.6694438544604462
2012,LTER 6,1.9836712976104136,19,0.8268977868240364,0.6737009364588644
2013,LTER 1,1.6186320277909847,11,0.7423682102227207,0.6750219853855515
2013,LTER 2,1.5866785129184457,10,0.7361712855208156,0.6890857227149384
2013,LTER 3,1.6182404947256024,10,0.7330201991969405,0.7027929172517173
2013,LTER 4,1.513032281342946,13,0.6413848163739293,0.5898877796325595
2013,LTER 5,1.5617060139085497,12,0.7193907805624045,0.6284767333379653
2013,LTER 6,1.5347982781959888,15,0.7334376172585023,0.566753997976591
2014,LTER 1,1.7406866949808246,12,0.7833913012298755,0.7005038580138739
2014,LTER 2,1.4140401342776667,11,0.6886403855003387,0.5897005387676777
2014,LTER 3,1.6399056200619009,14,0.7418683386490944,0.6213982552250877
2014,LTER 4,2.0047855428422077,15,0.8059662640566431,0.7403059005428463
2014,LTER 5,2.1924856650938067,13,0.8688903642315882,0.8547871164457034
2014,LTER 6,1.9133740388684375,17,0.7968651543793321,0.6753370842624665
2015,LTER 1,1.6436763484350065,10,0.7542835911902668,0.7138395681602099
2015,LTER 2,1.5187690183789844,14,0.7361218257204503,0.5754967886962887
2015,LTER 3,1.5500429976831165,16,0.7217271676641477,0.5590598364805238
2015,LTER 4,1.606979093435202,12,0.7248444444444444,0.6466959608210237
2015,LTER 5,2.4115053395117414,20,0.884765625,0.8049802583496051
2015,LTER 6,1.9988506325760436,18,0.8198506994393829,0.6915548586839781
2016,LTER 1,1.8545658898445647,15,0.8091813016528926,0.6848343834577857
2016,LTER 2,1.529780326510456,16,0.6883635391374725,0.5517516226765335
2016,LTER 3,1.8354999358774553,17,0.7884122784916435,0.6478509427213243
2016,LTER 4,1.9248552075285363,16,0.804823766885772,0.694244765582679
2016,LTER 5,1.886550346391988,9,0.8240190249702735,0.8586060641462175
2016,LTER 6,1.4138011022226815,11,0.7018039781263146,0.5896008546581601
2017,LTER 1,1.5799770948846004,13,0.7301011264960399,0.615987637451159
2017,LTER 2,1.3406943401242486,11,0.6575140042693323,0.5591129668309672
2017,LTER 3,1.3991642777145812,11,0.6615619593425606,0.5834968247306901
2017,LTER 4,1.2805353138572664,5,0.6963667820069204,0.7956413254367766
2017,LTER 5,1.5824210861612937,7,0.7525809896760413,0.8132035731092293
2017,LTER 6,1.6033717642017857,9,0.7525193909796035,0.7297259373211706
2018,LTER 1,1.6306371682061673,8,0.7522813442267313,0.7841707186867535
2018,LTER 2,1.0513559462481765,10,0.583650809661626,0.45659808597175483
2018,LTER 3,1.225361358451244,9,0.6074374291115312,0.5576859876275355
2018,LTER 4,1.5689459612188745,7,0.7484297520661157,0.8062787287380948
2018,LTER 5,1.8451204451425243,8,0.8217677136596055,0.8873153720166522
2018,LTER 6,1.6608950290913038,7,0.795211713494262,0.8535312023001799
2019,LTER 1,1.6265319187648326,10,0.7623162686624745,0.706393836959075
2019,LTER 2,1.2836769590033326,10,0.641731569340997,0.5574938198414942
2019,LTER 3,1.2168182650140749,10,0.6274435196195006,0.5284574579747013
2019,LTER 4,1.5772561593637446,7,0.762,0.8105493257895078
2019,LTER 5,1.7614895201534235,8,0.7937699380746857,0.847097398434408
2019,LTER 6,1.5346118120682475,9,0.7271044472210653,0.6984319344947055
2020,LTER 1,1.6040306247966385,11,0.7197471806236405,0.6689327273766701
2020,LTER 2,1.4751863716334805,9,0.725630025496328,0.6713862510230548
2020,LTER 3,1.3827270733275623,9,0.674857055673818,0.6293062109308353
2020,LTER 4,1.571402451247007,9,0.7493724030470914,0.7151760759712961
2020,LTER 5,1.543067657022063,8,0.7031997984378937,0.7420586855139607
2020,LTER 6,1.5520274762197632,9,0.7576176541385093,0.7063581448289397
