Habitat,Date,Cruise,Silicate,Phosphate,Nitrite,Nitrate,Count
Backreef,2017-08-24,LTER bi-annual,0.8400000000000001,0.09,0.03,0.14500000000000002,2
Backreef,2018-01-09,LTER bi-annual,1.89,0.12,0.02,0.05,1
Backreef,2018-08-14,LTER bi-annual,0.82,0.09,0.04,0.13999999999999999,1
Forereef,2005-08-10,LTER bi-annual,0.92,0.14,0.04,0.24999999999999997,1
Forereef,2005-12-05,LTER bi-annual,0.56,0.1,0.07,0.1,1
Forereef,2006-03-27,LTER bi-annual,0.37,0.1,0.05,0.15999999999999998,1
Forereef,2006-06-20,LTER bi-annual,0.61,0.06,0.05,0.19,1
Forereef,2006-08-29,LTER bi-annual,0.21,0.14,0.25,0.36,1
Forereef,2006-12-11,LTER bi-annual,1.11,0.17,0.02,0.02,1
Forereef,2007-03-24,LTER bi-annual,3.19,0.19,0.08,0.9700000000000001,1
Forereef,2007-08-18,LTER bi-annual,0.65,0.14,0.07,0.13999999999999999,1
Forereef,2008-01-14,LTER bi-annual,1.68,0.14,0.29,0.42,1
Forereef,2008-08-23,LTER bi-annual,0.58,0.17,0.11,0.23000000000000004,1
Forereef,2009-01-13,LTER bi-annual,0.99,0.21,0.19,0.38999999999999996,1
Forereef,2009-07-29,LTER bi-annual,0.33,0.18,0.12,0.6900000000000001,1
Forereef,2010-01-15,LTER bi-annual,0.87,0.24,0.22,0.38,1
Forereef,2010-08-15,LTER bi-annual,0.86,0.15,0.06,0.09,1
Forereef,2011-01-15,LTER bi-annual,0.42,0.12,0.04,0.07,1
Forereef,2011-07-22,LTER bi-annual,0.34,0.19,0.09,0.52,1
Forereef,2012-01-17,LTER bi-annual,1.01,0.23,0.19,0.15999999999999998,1
Forereef,2012-08-12,LTER bi-annual,0.36,0.13,0.06,0.13,1
Forereef,2013-01-14,LTER bi-annual,0.65,0.14,0.05,0.16999999999999998,1
Forereef,2013-08-21,LTER bi-annual,0.75,0.15,0.08,0.36,1
Forereef,2014-01-24,LTER bi-annual,0.34,0.14,0.05,0.06999999999999999,2
Forereef,2014-08-19,LTER bi-annual,0.17,0.12,0.09,0.23,1
Forereef,2015-01-27,LTER bi-annual,1.28,0.12,0.09,0.1,1
Forereef,2015-08-18,LTER bi-annual,0.8,0.08,0.04,0.21,1
Forereef,2016-01-22,LTER bi-annual,0.87,0.07,0.03,0.06,1
Forereef,2016-08-24,LTER bi-annual,1.26,0.09,0.06,0.22999999999999998,1
Forereef,2017-01-09,LTER bi-annual,1.29,0.12,0.07,-0.05,1
Forereef,2017-01-16,LTER bi-annual,1.2,0.15,0.08,0.05,1
Forereef,2017-08-24,LTER bi-annual,1.845,0.09,0.125,0.17500000000000002,2
Forereef,2018-01-09,LTER bi-annual,2.75,0.09,0.01,0,1
Forereef,2018-08-14,LTER bi-annual,0.86,0.06,0.02,0.02,1
Fringing,2005-08-10,LTER bi-annual,0.65,0.15,0.08,0.7100000000000001,1
Fringing,2005-12-04,LTER bi-annual,0.43,0.09,0.11,0.35000000000000003,1
Fringing,2006-03-26,LTER bi-annual,0.31,0.14,0.03,0.5,1
Fringing,2006-06-17,LTER bi-annual,0.82,0.11,0.06,0.5,1
Fringing,2006-08-27,LTER bi-annual,0.17,0.17,0.09,0.43000000000000005,1
Fringing,2006-12-13,LTER bi-annual,0.73,0.19,0.06,0.36,1
Fringing,2007-03-25,LTER bi-annual,2.66,0.22,0.1,4.25,1
Fringing,2007-08-20,LTER bi-annual,0.73,0.14,0.07,0.19,1
Fringing,2008-01-12,LTER bi-annual,1.73,0.14,0.32,0.42,1
Fringing,2008-08-25,LTER bi-annual,0.53,0.22,0.14,0.62,1
Fringing,2009-01-11,LTER bi-annual,0.57,0.26,0.1,0.32999999999999996,1
Fringing,2009-07-27,LTER bi-annual,0.37,0.18,0.11,0.53,1
Fringing,2010-01-18,LTER bi-annual,0.83,0.25,0.21,0.9000000000000001,1
Fringing,2010-08-17,LTER bi-annual,0.83,0.17,0.1,0.42000000000000004,1
Fringing,2011-01-17,LTER bi-annual,0.5,0.14,0.06,0.27,1
Fringing,2011-07-24,LTER bi-annual,0.29,0.21,0.2,0.34,1
Fringing,2012-01-19,LTER bi-annual,0.9,0.19,0.25,0.53,1
Fringing,2012-08-14,LTER bi-annual,1.18,0.16,0.08,0.56,1
Fringing,2013-01-16,LTER bi-annual,1.38,0.17,0.05,0.3,1
Fringing,2013-08-23,LTER bi-annual,1.3,0.14,0.11,0.56,1
Fringing,2014-01-22,LTER bi-annual,0.53,0.15,0.1,0.19999999999999998,2
Fringing,2014-08-21,LTER bi-annual,0.66,0.14,0.1,0.32999999999999996,1
Fringing,2015-01-29,LTER bi-annual,1.54,0.17,0.11,0.21000000000000002,1
Fringing,2015-08-20,LTER bi-annual,1.98,0.07,0.11,0.55,1
Fringing,2016-01-22,LTER bi-annual,1.22,0.08,0.07,0.2,1
Fringing,2016-08-24,LTER bi-annual,0.96,0.2,0.09,0.30000000000000004,1
Fringing,2017-01-09,LTER bi-annual,1.11,0.18,0.05,-0.05,1
Fringing,2017-01-16,LTER bi-annual,1.68,0.12,0.11,0.17000000000000004,1
Fringing,2017-08-24,LTER bi-annual,0.645,0.095,0.005,0.135,2
Fringing,2018-01-09,LTER bi-annual,2.21,0.17,0.02,0.12000000000000001,1
Fringing,2018-08-14,LTER bi-annual,0.89,0.1,0.06,0.16,1
